Curve,Vth(V),Gm_max(S),Ion(A),Ioff(A),Ron(Ohm),Rout(Ohm),SS(mV/dec)
DP TotalCurrent(IdVgp_300n58_des),-0.246666185997,5.87362130598e-05,-4.32899656612e-05,-1.42116940859e-09,17.0258979274,11642.1743375,70.8358150087
DN TotalCurrent(IdVgn_300n58_des),0.487090842397,7.77012776268e-05,3.89785495444e-05,3.56065572599e-09,12.8698021008,13656.7140335,132.430696045
DP TotalCurrent(IdVgp_350n59_des),-0.215616047092,5.65738670441e-05,-4.30037491978e-05,-8.50752156326e-09,17.6760061154,2406.26013476,83.856887913
DN TotalCurrent(IdVgn_350n59_des),0.443229003378,7.43413090551e-05,4.00403269377e-05,1.51711294026e-08,13.4534601403,4209.22824935,159.007727902
DP TotalCurrent(IdVgp_400n60_des),-0.187223692528,5.4496603729e-05,-4.26902848641e-05,-3.33029339536e-08,18.3498912862,745.096029063,101.080639101
DN TotalCurrent(IdVgn_400n60_des),0.406097182448,7.12747374401e-05,4.03979398129e-05,4.35994205992e-08,14.0347557793,1884.55456246,177.766760612
DP TotalCurrent(IdVgp_450n61_des),-0.161471281388,5.26247700644e-05,-4.23514594721e-05,-9.72928167804e-08,19.0025504129,305.915121009,115.779130594
DN TotalCurrent(IdVgn_450n61_des),0.375112097616,6.85703271145e-05,4.03187607763e-05,9.62561069804e-08,14.5843682069,1077.89943762,205.525120985
DP TotalCurrent(IdVgp_500n62_des),-0.136556703842,5.07847266886e-05,-4.19698609321e-05,-2.30266193014e-07,19.6911203017,154.454085376,135.84305843
DN TotalCurrent(IdVgn_500n62_des),0.341185953837,6.47738665767e-05,4.00342588434e-05,1.7811038583e-07,15.4404526365,718.35241219,227.040662118
DP TotalCurrent(IdVgp_550n63_des),-0.113116765802,4.9094530766e-05,-4.15550835804e-05,-4.6572138614e-07,20.3694876038,95.2199524062,161.973914402
DN TotalCurrent(IdVgn_550n63_des),0.306494109801,6.11105406804e-05,3.96736040218e-05,2.94129753804e-07,16.3665107186,517.540715489,255.527260314
DP TotalCurrent(IdVgp_600n64_des),-0.0879386212857,4.72064325234e-05,-4.11056832121e-05,-8.32296381674e-07,21.1842257285,68.1689329837,195.394477876
DN TotalCurrent(IdVgn_600n64_des),0.271542258223,5.73797524668e-05,3.92840449308e-05,4.55544799276e-07,17.4278024151,384.969730786,282.905275417
